feature,coefficient,abs_coefficient
county__county_Frio,-0.3800650302070577,0.3800650302070577
county__county_Lamar,-0.37638491227618076,0.37638491227618076
county__county_Burleson,-0.37609399570317137,0.37609399570317137
county__county_Hardin,-0.3665738467157425,0.3665738467157425
county__county_Waller,-0.36612346817612673,0.36612346817612673
county__county_DeWitt,-0.3653470304100424,0.3653470304100424
county__county_Matagorda,-0.363554477015725,0.363554477015725
county__county_Titus,-0.36271272580920444,0.36271272580920444
county__county_Erath,-0.36038868375133465,0.36038868375133465
county__county_Cass,-0.35912493496620795,0.35912493496620795
county__county_Calhoun,-0.35510335133930787,0.35510335133930787
county__county_Hill,-0.35133590181933233,0.35133590181933233
county__county_Navarro,-0.35013867407152194,0.35013867407152194
county__county_Gregg,-0.34700067704464216,0.34700067704464216
county__county_Jim Hogg,-0.3426156482148444,0.3426156482148444
county__county_Willacy,-0.33626970460327826,0.33626970460327826
county__county_Washington,-0.3340246355486725,0.3340246355486725
county__county_Kendall,-0.33320381422677076,0.33320381422677076
county__county_Hockley,-0.3314840489250353,0.3314840489250353
county__county_Grimes,-0.3241305626715803,0.3241305626715803
county__county_Wharton,-0.3157792996053259,0.3157792996053259
county__county_Medina,-0.3136402124036311,0.3136402124036311
county__county_Bee,-0.3106591619830647,0.3106591619830647
county__county_Uvalde,-0.30434151749080307,0.30434151749080307
county__county_Brown,-0.3041863446690991,0.3041863446690991
county__county_Burnet,-0.3016897391879047,0.3016897391879047
county__county_Wilson,-0.30137548495851235,0.30137548495851235
county__county_Val Verde,-0.29382133180042286,0.29382133180042286
county__county_Wise,-0.293818813437489,0.293818813437489
county__county_Comal,0.28659924616597654,0.28659924616597654
county__county_Wichita,-0.28242884688878334,0.28242884688878334
county__county_Kleberg,-0.2801864010953565,0.2801864010953565
county__county_Henderson,-0.27366993540598006,0.27366993540598006
county__county_Hunt,-0.2610994230548462,0.2610994230548462
county__county_San Patricio,-0.24458438876548289,0.24458438876548289
county__county_Nacogdoches,-0.24140641468403468,0.24140641468403468
county__county_Jim Wells,-0.239440885738771,0.239440885738771
county__county_Guadalupe,0.23604086133607224,0.23604086133607224
county__county_Atascosa,-0.22954624513964997,0.22954624513964997
county__county_Liberty,-0.20712274680692624,0.20712274680692624
county__county_Ellis,0.18606803437985314,0.18606803437985314
county__county_Walker,-0.18170205344187115,0.18170205344187115
county__county_Bowie,-0.1716939650952087,0.1716939650952087
county__county_Caldwell,-0.17148139903479054,0.17148139903479054
county__county_Smith,0.1657212847886926,0.1657212847886926
county__county_Grayson,-0.15427038776983532,0.15427038776983532
county__county_Victoria,-0.15404436300373073,0.15404436300373073
county__county_Coryell,-0.1473154595439954,0.1473154595439954
num__dow_sin,-0.144655575257856,0.144655575257856
county__county_Parker,-0.13830088644221938,0.13830088644221938
county__county_Midland,0.1355386102276255,0.1355386102276255
county__county_Maverick,-0.12102106021933857,0.12102106021933857
county__county_Potter,-0.1183533321358184,0.1183533321358184
county__county_Johnson,0.10529388190816887,0.10529388190816887
county__county_Ector,-0.08543266463281196,0.08543266463281196
county__county_Bastrop,-0.07427648845286482,0.07427648845286482
county__county_Tom Green,0.05638905726244381,0.05638905726244381
county__county_Kaufman,0.04753646506966011,0.04753646506966011
county__county_Rockwall,-0.03490298133478307,0.03490298133478307
county__county_Starr,-0.025620263080160133,0.025620263080160133
county__county_Taylor,0.005629343252469528,0.005629343252469528
county__county_Randall,-0.0049619583797233325,0.0049619583797233325
